
./vecadd_opt3 Number of trials=10,    avg=0.0231274, std dev=0.00390574
OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.329259, std dev=0.00155846

OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.328743, std dev=0.0021219

OMP_PROC_BIND=master OMP_PLACES=cores OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.328636, std dev=0.0013332

OMP_PROC_BIND=true OMP_PLACES=sockets OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.326206, std dev=0.00115439

OMP_PROC_BIND=false OMP_PLACES=sockets OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.328352, std dev=0.0044441

OMP_PROC_BIND=close OMP_PLACES=sockets OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.325741, std dev=0.00124069

OMP_PROC_BIND=spread OMP_PLACES=sockets OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.325002, std dev=0.000539302

OMP_PROC_BIND=master OMP_PLACES=sockets OMP_NUM_THREADS=1 ./vecadd_opt3 Number of trials=10,    avg=0.326047, std dev=0.00168209
